refinement_mode,q_max,method,auroc,auprc,precision_at_5pct,precision_at_10pct,recall_at_10pct,delta_auroc,delta_auprc,ci_low,ci_high,frac_positive
baseline,8,negative_margin,0.8512615195945824,0.37194521073516335,0.4391891891891892,0.3593220338983051,0.5247524752475248,0.0,0.0,0.0,0.0,0.0
support,8,support+CE,0.8512615195945824,0.37194521073516335,0.4391891891891892,0.3593220338983051,0.5247524752475248,0.0,0.0,0.0,0.0,0.0
mixed,8,mixed+CE,0.8512615195945824,0.37194521073516335,0.4391891891891892,0.3593220338983051,0.5247524752475248,0.0,0.0,0.0,0.0,0.0
mixed,8,mixed+rho_cost,0.8512615195945824,0.37194521073516335,0.4391891891891892,0.3593220338983051,0.5247524752475248,0.0,0.0,0.0,0.0,0.0
baseline,16,negative_margin,0.8512615195945824,0.37194521073516335,0.4391891891891892,0.3593220338983051,0.5247524752475248,0.0,0.0,0.0,0.0,0.0
support,16,support+CE,0.8559865822647839,0.3908551412312729,0.4527027027027027,0.3728813559322034,0.5445544554455446,0.004725062670201452,0.01890993049610956,0.00314624761834536,0.00619693738681065,1.0
mixed,16,mixed+CE,0.8543544518386265,0.38180530495048004,0.44594594594594594,0.3728813559322034,0.5445544554455446,0.0030929322440440554,0.009860094215316695,0.0021736324822739213,0.00395351619796461,1.0
mixed,16,mixed+rho_cost,0.8525095132464066,0.37946285575919736,0.3918918918918919,0.3559322033898305,0.5198019801980198,0.001247993651824153,0.007517645024034014,-0.0008384686196322293,0.0030836758972163755,0.895
baseline,32,negative_margin,0.8512615195945824,0.37194521073516335,0.4391891891891892,0.3593220338983051,0.5247524752475248,0.0,0.0,0.0,0.0,0.0
support,32,support+CE,0.8505509567350178,0.37088179286683004,0.43243243243243246,0.3593220338983051,0.5247524752475248,-0.0007105628595646118,-0.001063417868333305,-0.0009586712689383853,-0.0004471579682032186,0.0
mixed,32,mixed+CE,0.8520712727010405,0.38029414908322934,0.44594594594594594,0.36271186440677966,0.5297029702970297,0.0008097531064581442,0.008348938348065993,0.0005439395229776295,0.0010747794040953718,1.0
mixed,32,mixed+rho_cost,0.8516077837291925,0.38935142762322084,0.42567567567567566,0.3525423728813559,0.5148514851485149,0.0003462641346101414,0.01740621688805749,-0.0007759556512199284,0.0015033788439175937,0.735
baseline,64,negative_margin,0.8512615195945824,0.37194521073516335,0.4391891891891892,0.3593220338983051,0.5247524752475248,0.0,0.0,0.0,0.0,0.0
support,64,support+CE,0.8502678136666125,0.365676452614162,0.43243243243243246,0.34915254237288135,0.5099009900990099,-0.000993705927969879,-0.006268758121001361,-0.0015061306999252261,-0.0004926002390796575,0.0
mixed,64,mixed+CE,0.8569929124059947,0.41394938762119937,0.4797297297297297,0.39661016949152544,0.5792079207920792,0.005731392811412328,0.042004176886036027,0.004040893619391739,0.007531384348884029,1.0
mixed,64,mixed+rho_cost,0.851057728723692,0.39116061149379777,0.42567567567567566,0.3525423728813559,0.5148514851485149,-0.00020379087089039682,0.019215400758634427,-0.00101691459370018,0.0005225883552121086,0.274
